City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Fortuna,US,2021-12-23 04:59:12,40.5982,-124.1573,52.99,95,75,5.99
67,Zhob,PK,2021-12-23 04:59:13,31.3411,69.4481,52.72,24,11,3.38
68,Hithadhoo,MV,2021-12-23 04:59:13,-0.6,73.0833,81.36,73,48,2.98
69,Arraial Do Cabo,BR,2021-12-23 04:57:59,-22.9661,-42.0278,71.67,89,100,23.2
70,Uvira,CD,2021-12-23 04:59:14,-3.4067,29.1458,74.71,81,100,4.32
71,Oktyabrskiy,RU,2021-12-23 04:59:14,54.4815,53.471,3.7,96,100,6.8
72,Flinders,AU,2021-12-23 04:59:15,-34.5833,150.8552,72.37,84,100,10.11
73,Kropotkin,RU,2021-12-23 04:59:15,45.4375,40.5756,21.9,85,79,3.33
74,Severo-Kurilsk,RU,2021-12-23 04:59:16,50.6789,156.125,27.91,70,91,26.98
75,Lebu,CL,2021-12-23 04:59:16,-37.6167,-73.65,56.48,88,54,15.21
76,Havre-Saint-Pierre,CA,2021-12-23 04:59:16,50.2334,-63.5986,25.39,86,90,24.16
77,Pisco,PE,2021-12-23 04:54:58,-13.7,-76.2167,66.25,88,0,9.22
78,Noumea,NC,2021-12-23 04:59:17,-22.2763,166.4572,86.0,99,34,15.52
79,Gasa,PS,2021-12-23 04:57:32,31.5,34.4667,53.58,62,99,7.76
80,Torbay,CA,2021-12-23 04:59:18,47.6666,-52.7314,31.57,86,90,20.71
81,Punta Arenas,CL,2021-12-23 04:59:18,-53.15,-70.9167,53.71,58,40,6.91
82,Pahrump,US,2021-12-23 04:56:15,36.2083,-115.9839,48.25,50,100,7.47
83,Vorobyevka,RU,2021-12-23 04:59:19,50.6451,40.9245,5.05,96,66,9.08
84,Yellowknife,CA,2021-12-23 04:59:19,62.456,-114.3525,-18.58,86,75,3.44
85,Hasaki,JP,2021-12-23 04:59:20,35.7333,140.8333,50.29,39,7,5.44
86,Tasiilaq,GL,2021-12-23 04:59:20,65.6145,-37.6368,14.36,51,0,5.46
87,Kaitangata,NZ,2021-12-23 04:59:21,-46.2817,169.8464,60.17,58,73,5.28
88,Port Alfred,ZA,2021-12-23 04:59:21,-33.5906,26.891,67.64,80,88,14.58
89,Mehamn,NO,2021-12-23 04:59:21,71.0357,27.8492,21.38,79,99,26.08
90,Zilair,RU,2021-12-23 04:59:22,52.2332,57.4392,8.83,94,100,12.35
91,Chuy,UY,2021-12-23 04:59:22,-33.6971,-53.4616,61.77,83,0,4.18
92,Tommot,RU,2021-12-23 04:59:23,58.9564,126.2925,-32.93,92,74,1.48
93,Kodiak,US,2021-12-23 04:58:45,57.79,-152.4072,42.1,75,94,20.62
94,Aquiraz,BR,2021-12-23 05:00:27,-3.9014,-38.3911,78.19,76,100,9.48
95,Kruisfontein,ZA,2021-12-23 05:00:30,-34.0033,24.7314,60.89,87,99,11.54
96,Cidreira,BR,2021-12-23 05:00:31,-30.1811,-50.2056,67.41,76,15,7.74
97,Tubuala,PA,2021-12-23 05:00:34,9.5167,-79.0333,77.32,82,76,7.85
98,Alofi,NU,2021-12-23 05:00:35,-19.0595,-169.9187,79.83,72,3,14.99
99,Dongsheng,CN,2021-12-23 05:00:32,39.8161,109.9776,26.37,45,96,13.82
100,Lasa,IT,2021-12-23 05:00:36,46.6166,10.7002,21.36,40,78,3.85
101,Atbasar,KZ,2021-12-23 05:00:37,51.8,68.3333,17.13,96,100,5.7
102,Vao,NC,2021-12-23 05:00:38,-22.6667,167.4833,76.75,71,2,12.55
103,Kisac,RS,2021-12-23 05:00:39,45.3503,19.7286,24.94,73,5,5.37
104,Narsaq,GL,2021-12-23 05:00:40,60.9167,-46.05,44.82,62,100,9.37
105,Sao Filipe,CV,2021-12-23 05:00:40,14.8961,-24.4956,73.81,72,0,8.19
106,Luanda,AO,2021-12-23 05:00:41,-8.8368,13.2343,77.0,83,75,8.05
