City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ushumun,RU,52.7833,126.5333,-8.07,92,100,4.21,overcast clouds
79,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,75,3,5.17,clear sky
80,Inhambane,MZ,-23.865,35.3833,77.02,77,75,7.07,broken clouds
81,Vaini,TO,-21.2,-175.2,82.56,89,90,16.11,overcast clouds
82,Narsaq,GL,60.9167,-46.05,32.22,96,100,26.24,snow
83,Dolores,AR,-36.3132,-57.6792,60.8,49,56,15.9,broken clouds
84,Hammerfest,NO,70.6634,23.6821,14.45,79,75,13.8,light snow
85,Hobart,AU,-42.8794,147.3294,67.26,74,75,1.99,broken clouds
86,Riyadh,SA,24.6877,46.7219,44.74,50,0,9.24,clear sky
87,Tutoia,BR,-2.7619,-42.2744,80.58,86,100,8.08,overcast clouds
88,Zyryanka,RU,65.75,150.85,-18.49,96,100,8.14,overcast clouds
89,Lasa,IT,46.6166,10.7002,45.34,99,100,4.54,light snow
90,Bredasdorp,ZA,-34.5322,20.0403,59.67,84,0,6.22,clear sky
91,Saint-Pierre,RE,-21.3393,55.4781,76.64,67,0,6.91,clear sky
92,Santa Cruz Del Sur,CU,20.7147,-77.9956,72.46,72,0,8.48,light rain
93,Porto Belo,BR,-27.1578,-48.5531,76.98,88,100,6.31,overcast clouds
94,New Norfolk,AU,-42.7826,147.0587,66.9,49,100,4.0,overcast clouds
95,Naryan-Mar,RU,67.6713,53.087,-23.85,100,86,7.96,overcast clouds
96,Tasiilaq,GL,65.6145,-37.6368,28.56,91,100,39.97,light snow
97,Sokolo,ML,14.7328,-6.1219,67.17,22,16,9.55,few clouds
98,Svetlaya,RU,46.5389,138.3297,10.62,49,0,7.52,clear sky
99,Katsuura,JP,35.1333,140.3,44.71,39,82,19.82,broken clouds
100,Caravelas,BR,-17.7125,-39.2481,73.83,93,16,5.95,few clouds
101,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,34,20,1.01,few clouds
102,Ikalamavony,MG,-21.15,46.5833,69.46,89,100,2.55,light rain
103,Dingle,PH,10.9995,122.6711,79.65,79,94,14.92,overcast clouds
104,Lalmohan,BD,22.3384,90.7419,64.06,64,0,8.34,clear sky
105,Saravena,CO,6.9538,-71.8752,72.36,54,20,3.89,few clouds
106,Maceio,BR,-9.6658,-35.7353,76.44,94,75,1.14,broken clouds
107,Mae Sai,TH,20.4335,99.8762,67.44,56,0,0.54,clear sky
108,Qaanaaq,GL,77.484,-69.3632,-5.93,60,0,8.72,clear sky
109,Westport,US,41.1415,-73.3579,35.42,67,1,11.01,clear sky
110,Dhidhdhoo,MV,6.8833,73.1,80.91,72,6,2.73,clear sky
111,Albanel,CA,48.8832,-72.4487,12.22,95,100,4.63,overcast clouds
112,Vrangel,RU,42.7297,133.0839,12.81,45,0,9.28,clear sky
113,Kalmunai,LK,7.4167,81.8167,75.83,89,86,9.28,overcast clouds
114,Tambun,ID,-6.2641,107.0712,86.04,70,20,3.44,haze
115,Arlit,NE,18.7369,7.3853,60.89,30,67,5.59,broken clouds
116,Tiarei,PF,-17.5333,-149.3333,86.02,73,26,4.34,light rain
